venta_id,linea_id,fecha,cliente_id,producto_id,sucursal_id,cantidad,precio_unitario,descuento_pct
1001,1,2026-09-01,1,101,1,1,15000.00,0
1002,1,2026-09-01,2,102,2,2,350.00,5
1003,1,2026-09-02,3,103,3,1,850.00,0
1004,1,2026-09-02,4,106,1,3,180.00,10
1005,1,2026-09-03,5,101,5,1,14950.00,5
1006,1,2026-09-03,,102,2,1,350.00,0
1007,1,fecha_invalida,6,103,4,1,850.00,0
1008,1,2026-09-04,7,104,1,2,100.00,0
1009,1,2026-09-04,8,999,3,1,500.00,0
1010,1,2026-09-05,1,105,1,-1,2500.00,0
1011,1,2026-09-05,2,107,2,1,,0
1012,1,2026-09-06,3,106,99,2,180.00,0
1013,1,2026-09-06,4,102,1,1,ABC,0
1014,1,2026-09-07,5,103,5,1,850.00,150
1015,1,2026-09-07,6,108,4,1,300.00,0
1015,1,2026-09-07,6,108,4,1,300.00,0
1016,1,2026-09-08,1,101,1,1,15000.00,0
1016,2,2026-09-08,1,102,1,2,350.00,0
